iter	Passed	Remaining
0	0	61
1	1	57
2	1	54
3	2	49
4	2	48
5	3	50
6	3	49
7	4	48
8	4	47
9	5	46
10	5	46
11	6	46
12	6	46
13	7	45
14	8	45
15	8	45
16	9	44
17	9	44
18	10	44
19	10	43
20	11	42
21	11	41
22	12	41
23	12	41
24	13	40
25	14	40
26	15	40
27	15	40
28	16	41
29	17	40
30	18	40
31	18	39
32	19	38
33	19	38
34	20	37
35	20	37
36	21	36
37	21	35
38	22	35
39	22	34
40	23	34
41	23	33
42	24	32
43	25	32
44	25	31
45	26	30
46	26	30
47	27	29
48	27	29
49	28	28
50	28	27
51	29	27
52	30	26
53	30	25
54	30	25
55	31	24
56	32	24
57	32	23
58	33	23
59	34	22
60	34	22
61	35	21
62	35	21
63	36	20
64	37	19
65	37	19
66	38	18
67	38	18
68	39	17
69	39	17
70	40	16
71	41	15
72	41	15
73	42	14
74	42	14
75	43	13
76	43	13
77	44	12
78	44	11
79	45	11
80	45	10
81	46	10
82	47	9
83	47	9
84	48	8
85	49	8
86	49	7
87	50	6
88	51	6
89	51	5
90	52	5
91	53	4
92	53	4
93	54	3
94	54	2
95	55	2
96	55	1
97	56	1
98	56	0
99	57	0
