iter	Passed	Remaining
0	129	129374
1	130	64981
2	130	43525
3	131	32777
4	132	26335
5	133	22070
6	133	19003
7	134	16704
8	135	14910
9	136	13476
10	136	12296
11	137	11321
12	138	10496
13	138	9782
14	139	9173
15	140	8630
16	141	8156
17	141	7731
18	142	7348
19	142	7004
20	143	6692
21	144	6410
22	144	6152
23	145	5917
24	146	5702
25	146	5502
26	147	5313
27	148	5138
28	148	4980
29	149	4830
30	150	4689
31	150	4560
32	151	4435
33	151	4318
34	152	4209
35	153	4104
36	153	4006
37	154	3911
38	155	3821
39	155	3735
40	156	3655
41	156	3577
42	157	3504
43	158	3433
44	158	3365
45	159	3304
46	159	3241
47	160	3182
48	160	3124
49	161	3068
50	162	3017
51	162	2966
52	163	2916
53	163	2870
54	164	2824
55	165	2782
56	165	2740
57	166	2699
58	166	2659
59	167	2621
60	167	2583
61	168	2547
62	168	2512
63	169	2479
64	170	2446
65	170	2415
66	171	2386
67	172	2357
68	172	2329
69	173	2300
70	173	2273
71	174	2246
72	174	2220
73	175	2194
74	175	2169
75	176	2145
76	177	2121
77	177	2099
78	178	2077
79	178	2055
80	179	2033
81	179	2012
82	180	1989
83	180	1969
84	181	1949
85	181	1930
86	182	1911
87	182	1894
88	183	1876
89	183	1859
90	184	1844
91	185	1827
92	185	1810
93	186	1794
94	186	1778
95	187	1763
96	187	1749
97	188	1735
98	189	1721
99	189	1707
100	190	1694
101	190	1681
102	191	1668
103	192	1655
104	192	1642
105	193	1629
106	193	1617
107	194	1604
108	194	1592
109	195	1580
110	196	1569
111	196	1559
112	197	1547
113	197	1537
114	198	1526
115	198	1516
116	199	1504
117	199	1494
118	200	1485
119	201	1474
120	201	1464
121	202	1454
122	202	1445
123	203	1437
124	204	1428
125	204	1420
126	205	1410
127	205	1401
128	206	1392
129	206	1384
130	207	1375
131	207	1366
132	208	1358
133	209	1350
134	209	1342
135	210	1335
136	210	1327
137	211	1319
138	211	1312
139	212	1304
140	212	1297
141	213	1289
142	213	1281
143	214	1274
144	215	1268
145	215	1261
146	216	1255
147	216	1248
148	217	1242
149	218	1235
150	218	1229
151	219	1223
152	219	1216
153	220	1210
154	220	1204
155	221	1198
156	222	1192
157	222	1186
158	223	1181
159	223	1175
160	224	1168
161	224	1162
162	225	1157
163	225	1151
164	226	1145
165	226	1140
166	227	1134
167	228	1129
168	228	1124
169	229	1119
170	229	1114
171	230	1108
172	230	1103
173	231	1099
174	232	1094
175	232	1089
176	233	1083
177	233	1079
178	234	1074
179	234	1069
180	235	1064
181	235	1060
182	236	1055
183	236	1050
184	237	1046
185	238	1042
186	238	1037
187	239	1033
188	239	1029
189	240	1024
190	240	1020
191	241	1016
192	242	1012
193	242	1008
194	243	1004
195	243	1000
196	244	996
197	245	992
198	245	988
199	246	984
200	246	980
201	247	977
202	247	973
203	248	970
204	249	966
205	249	962
206	250	958
207	250	955
208	251	951
209	251	947
210	252	944
211	253	940
212	253	937
213	254	934
214	254	930
215	255	926
216	255	923
217	256	920
218	256	916
219	257	913
220	258	909
221	258	906
222	259	903
223	259	900
224	260	897
225	261	893
226	261	890
227	262	887
228	262	884
229	263	881
230	263	877
231	264	874
232	264	872
233	265	868
234	265	865
235	266	863
236	267	860
237	267	857
238	268	854
239	268	851
240	269	848
241	270	845
242	270	842
243	271	840
244	271	837
245	272	834
246	272	831
247	273	828
248	273	826
249	274	823
250	275	820
251	275	818
252	276	815
253	276	813
254	277	810
255	277	807
256	278	804
257	279	802
258	279	799
259	280	797
260	280	794
261	281	792
262	281	789
263	282	786
264	282	784
265	283	781
266	283	779
267	284	776
268	284	773
269	285	772
270	286	769
271	286	767
272	287	764
273	287	762
274	288	759
275	288	757
276	289	754
277	289	752
278	290	749
279	290	747
280	291	745
281	291	742
282	292	740
283	292	737
284	293	735
285	293	733
286	294	731
287	294	728
288	295	726
289	295	724
290	296	721
291	296	719
292	297	717
293	298	715
294	298	713
295	299	711
296	299	709
297	300	707
298	300	705
299	301	702
300	301	700
301	302	698
302	302	696
303	303	694
304	303	692
305	304	690
306	304	688
307	305	686
308	306	684
309	306	682
310	307	680
311	307	678
312	308	676
313	308	674
314	309	672
315	309	670
316	310	668
317	310	666
318	311	664
319	311	662
320	312	660
321	313	659
322	313	657
323	314	655
324	314	653
325	315	651
326	315	649
327	316	647
328	316	645
329	317	644
330	317	642
331	318	640
332	318	638
333	319	636
334	319	635
335	320	633
336	320	631
337	321	629
338	321	627
339	322	625
340	322	624
341	323	622
342	324	620
343	324	619
344	325	617
